subset,answer,pred,response
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,B,B
murder_mysteries,B,B,B
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
object_placements,B,B,B
object_placements,C,C,C
object_placements,D,B,B
object_placements,C,C,C
object_placements,D,B,B
object_placements,A,C,C
object_placements,C,C,C
object_placements,B,C,C
object_placements,D,D,D
object_placements,A,A,A
object_placements,A,A,A
object_placements,B,B,B
object_placements,A,A,A
object_placements,C,B,B
object_placements,A,A,A
object_placements,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,B,B,B
murder_mysteries,A,B,B
murder_mysteries,B,B,B
murder_mysteries,A,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
team_allocation,A,A,A
team_allocation,B,A,A
team_allocation,C,B,B
team_allocation,C,B,B
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,A,C,C
team_allocation,B,C,C
team_allocation,A,C,C
team_allocation,C,C,C
team_allocation,C,C,C
team_allocation,C,B,B
team_allocation,B,B,B
team_allocation,C,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,B,B
murder_mysteries,A,B,B
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
object_placements,D,D,D
object_placements,A,A,A
object_placements,A,A,A
object_placements,C,C,C
object_placements,D,D,D
object_placements,C,C,C
object_placements,A,A,A
object_placements,B,B,B
object_placements,D,D,D
object_placements,B,B,B
object_placements,D,D,D
object_placements,B,B,B
object_placements,D,D,D
object_placements,A,A,A
object_placements,C,A,A
object_placements,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,B,A,A
murder_mysteries,A,A,A
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,B,A,A
team_allocation,B,A,A
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,C,A,A
team_allocation,A,C,C
team_allocation,A,A,A
team_allocation,A,C,C
team_allocation,C,C,C
team_allocation,C,C,C
team_allocation,C,C,C
object_placements,D,D,D
object_placements,A,A,A
object_placements,B,C,C
object_placements,C,C,C
object_placements,A,A,A
object_placements,A,A,A
object_placements,A,A,A
object_placements,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
object_placements,A,A,A
object_placements,A,B,B
object_placements,A,A,A
object_placements,D,D,D
object_placements,C,C,C
object_placements,A,A,A
object_placements,B,B,B
object_placements,D,D,D
murder_mysteries,A,B,B
murder_mysteries,B,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
team_allocation,C,B,B
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,C,C,C
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,A,A,A
team_allocation,C,B,B
team_allocation,B,C,C
team_allocation,C,C,C
team_allocation,A,C,C
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,B,C,C
team_allocation,A,B,B
object_placements,A,A,A
object_placements,C,C,C
object_placements,B,B,B
object_placements,B,B,B
object_placements,D,D,D
object_placements,A,A,A
object_placements,C,C,C
object_placements,A,A,A
object_placements,C,C,C
object_placements,A,A,A
object_placements,B,B,B
object_placements,A,A,A
object_placements,D,A,A
object_placements,D,D,D
object_placements,A,A,A
object_placements,C,B,B
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,B,B
murder_mysteries,B,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
team_allocation,C,C,C
team_allocation,C,C,C
team_allocation,C,C,C
team_allocation,B,B,B
team_allocation,B,A,A
team_allocation,B,C,C
team_allocation,C,C,C
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,A,B,B
team_allocation,B,A,A
team_allocation,B,A,A
team_allocation,B,A,A
team_allocation,B,B,B
team_allocation,B,B,B
object_placements,A,A,A
object_placements,C,C,C
object_placements,A,C,C
object_placements,D,D,D
object_placements,A,A,A
object_placements,D,D,D
object_placements,B,C,C
object_placements,D,D,D
object_placements,D,D,D
object_placements,B,A,A
object_placements,A,D,D
object_placements,A,A,A
object_placements,A,A,A
object_placements,A,A,A
object_placements,D,D,D
object_placements,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
team_allocation,B,B,B
team_allocation,B,C,C
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,A,B,B
team_allocation,B,B,B
team_allocation,C,B,B
team_allocation,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
object_placements,C,D,D
object_placements,D,D,D
object_placements,A,D,D
object_placements,B,B,B
object_placements,C,D,D
object_placements,B,B,B
object_placements,C,C,C
object_placements,B,B,B
team_allocation,C,C,C
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,C,A,A
team_allocation,C,B,B
team_allocation,B,B,B
object_placements,C,C,C
object_placements,C,B,B
object_placements,D,D,D
object_placements,C,C,C
object_placements,D,D,D
object_placements,C,C,C
object_placements,B,B,B
object_placements,A,A,A
object_placements,B,B,B
object_placements,B,A,A
object_placements,C,C,C
object_placements,B,B,B
object_placements,D,C,C
object_placements,D,D,D
object_placements,D,C,C
object_placements,D,D,D
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,B,B
murder_mysteries,B,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,C,B,B
team_allocation,B,C,C
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,C,A,A
team_allocation,C,C,C
team_allocation,C,B,B
team_allocation,C,C,C
team_allocation,C,C,C
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,C,B,B
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,C,C,C
team_allocation,A,A,A
object_placements,D,C,C
object_placements,C,B,B
object_placements,C,D,D
object_placements,C,A,A
object_placements,B,C,C
object_placements,D,D,D
object_placements,C,C,C
object_placements,D,D,D
object_placements,D,D,D
object_placements,C,C,C
object_placements,B,A,A
object_placements,C,C,C
object_placements,B,D,D
object_placements,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,B,B
object_placements,A,A,A
object_placements,B,B,B
object_placements,A,A,A
object_placements,C,C,C
object_placements,D,B,B
object_placements,C,C,C
object_placements,D,B,B
object_placements,C,C,C
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,B,B
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,A,B,B
team_allocation,B,B,B
object_placements,A,A,A
object_placements,D,D,D
object_placements,D,D,D
object_placements,B,B,B
object_placements,C,D,D
object_placements,A,A,A
object_placements,D,A,A
object_placements,B,B,B
object_placements,B,B,B
object_placements,A,A,A
object_placements,D,B,B
object_placements,C,C,C
object_placements,B,B,B
object_placements,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,B,B
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
murder_mysteries,A,A,A
murder_mysteries,B,A,A
team_allocation,B,B,B
team_allocation,C,C,C
team_allocation,B,B,B
team_allocation,C,C,C
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,B,B
murder_mysteries,A,A,A
murder_mysteries,B,A,A
murder_mysteries,A,A,A
team_allocation,B,C,C
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,A,C,C
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,B,C,C
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,C,B,B
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,C,C,C
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,C,A,A
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,C,B,B
team_allocation,B,B,B
team_allocation,A,C,C
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,C,B,B
team_allocation,C,A,A
team_allocation,B,B,B
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,C,C,C
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,A,A,A
team_allocation,B,A,A
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,C,C,C
team_allocation,A,A,A
team_allocation,B,C,C
team_allocation,A,B,B
team_allocation,C,A,A
team_allocation,C,B,B
team_allocation,A,A,A
team_allocation,B,B,B
team_allocation,A,A,A
team_allocation,C,B,B
team_allocation,B,B,B
team_allocation,C,B,B
team_allocation,A,A,A
team_allocation,C,C,C
team_allocation,A,A,A
team_allocation,C,C,C
